,US Customer Name,US Review title,US Ratings,Reviews
499,Lily,Looks nice but breaks easily,1.0 out of 5 stars,"  The first time I dropped it, it cracked and leaked out all my water. Its a shame because its so cute and I always got compliments."
500,Icarus,Just a cheap repllica. Item not as described.,1.0 out of 5 stars,"  The item is not as described. It's like a cheap replica. And the color is supposed to fade as you go up from the bottom, this replica does not."
501,Crystal L.,Four Stars,4.0 out of 5 stars,  Wonderful bottle
502,MJONO,Great until I dropped it ONE TIME and it cracked,2.0 out of 5 stars,"  Great until I dropped it ONE TIME and it cracked, so it is definetly not worth the high cost."
503,tom,very bad product,1.0 out of 5 stars,"  Its one star because I had no option for no stars. Bottle is useless, oval shape and very narrow bottom makes it to tip over every time. This is the only bottle that I saw on the market that is oval with narrow bottom. Very bad design. Does not fit in any of car or bike cup holders. To transport you have to lay it flat on the car seat, constantly looking if its not leaking?I threw my away in the garbage container"
504,Susie K.,"Pretty, Different, Unstable",2.0 out of 5 stars,"  This bottle was larger than I thought, which was okay.  It was really different-looking with a sleek design.  It didn't leak in my purse which was great.  I say ""was"" and ""didn't"" because I had it and happily used it daily until it wobbled over one day and the joint/hinge holding the top broke off.  I had it on a bleacher and when some got up, there was a little vibration and it wobbled, tipped over, landed on the ground and broke.  If you look closely at the base of the bottle, it is rounded, meaning it is not very stable.  While there is a rubber ring on the bottom for grip on a slick surface (good) it is not enough to compensate for the rounded base design (bad).  I won't buy another, especially at the high price."
505,Elaine A White,Five Stars,5.0 out of 5 stars,  I love this water bottle!
506,Roy Lyu,Three Stars,3.0 out of 5 stars,  Not as good
507,Jane S,One Star,1.0 out of 5 stars,  THIS IS REALLY HAEVY SMELLY AND TOO BIG. HUGE SIZE.
508,hongmeilv,Four Stars,4.0 out of 5 stars,  It is too big.
509,Michael Lu,Five Stars,5.0 out of 5 stars,  It's very beautiful. But too big for me.
510,Lorenzo,Ok,3.0 out of 5 stars,  The product is ok I guess. It hurts my hears because you have to shove them in so they stay. They do block out all noise when you're listening to music. Just wish they went a little louder.
511,Jorge Solis,Great bottle overall,3.0 out of 5 stars,"  It's a nice water bottle, really elegant and didn't ever think I would get so many compliments on a water bottle, even the little message in the cap is nice. I use this water bottle for just about anything from gym to my desk at work so it's filled just about every day, I usually wash it maybe every 4-5 days. I only fill it up with water nothing has ever been in there before, however, the rubber that covers the cap grew a nasty black mold, it is near impossible to take off I tried a lot of home remedies and it made it smell so I cannot use it even more. I always empty it at night and let it dry, of course I'm guilty of leaving it in my car filled overnight a couple times but not to where it's been in the sun full of water for a full week which if I did that then it would be understandable but from regular use to grow that much mold is disappointing."
512,dhersh,Broken after a few months,1.0 out of 5 stars,"  I really wanted to love this water bottle. The look is so cool. It made we want to drink water more. I got the blue tint and it made the water look so fresh and desirable. I liked how you could always see the water level and the spout was a great size.However! The hinge closing the lid is horrible. It never felt like it was latched all the way and I had a few spills because of it. The worst thing, I flipped open the lid one day and the hinge totally broke rendering the bottle unusable. I reached out to Kor hoping they would understand but they were punks and said I must have dropped it or something. Total disappointment. I’d go with another bottle if I were you."
513,Bruce Kinsey,"Cool design, terribly poor longevity",3.0 out of 5 stars,"  I've actually owned two of these, one in Orange right after Iron Man 2 came out. And one in Blue.They're great to look at, they work reasonably well. For a while.It begins with the seal leaking. Nbd, just remove and clean it. A month later, same thing, but this time it doesn't stop. That's when you realize the closure mechanism has gotten weak. So, you start to slam it shut. That works for a minute, but eventually it too quits working.Now you buy another one, years after the first one broke, thinking if it lasts as long as my original one, great! Wrong, the replacement is worse than the last one. Well, wasted that money 😢"
514,Jacob and Kiki Hantla,Excellent Customer Service When I Broke the Bottle,5.0 out of 5 stars,"  I received a 750 mL Kor One to review. I received multiple comments on how good looking my water bottle was while I was using it. I like it for a number of reasons:1. BPA Free2. Ergonomic: It is oblong and not round. Thus it fits well in my hand the long way and in my wife's hand the shorter way. The handle on top makes it very easy to pick up and hold when not drinking.3. Secure lid. I had no spills.4. Easy to clean with large pour spout; never had any gross old-water-bottle smells.The problem was that one day, I opened the flip lid, and the lid snapped at the hinge. The plastic simply broke. I'm not certain if this is a design defect with the Kor One and the type of plastic or if I just had a lemon. I suspect that I just had a lemon because the design is so rugged and it feels so solid.I promptly emailed customer service from Kor's website, I was directed to a warranty page where I entered my information with a picture of my bottle. Two days later I was sent a code to order a new, free replacement bottle. Excellent, streamlined customer service and warranty support.Although I received my first Kor One free of charge as a review, I anticipate that I will be ordering another for my wife. They are a bit pricey, but the quality is high, and I love that I am not drinking out of a BPA bottle.  My customer service experience gave me the confidence that the price premium is worth while."
515,Amazon Customer,"Expensive Bottle, Watered down Quality.",1.0 out of 5 stars,"  KOR ONE BPA Free 750ml Water Bottle - Used it for about a year, now for the review based on user experience. I purchased this item based on some positive reviews that in my opinion may have been bias as the reviewers may have been compensated for their 5 stars. It’s an Odd shaped water bottle that will not fit in any cup holder.  I had to hold the container between my legs while driving as I do not have an oval shaped car cup holder. When my car brakes at stops, cold water spills between my legs. It has started to leak at the cap, the seal has deteriorated and I cannot lay it down horizontally on my car seat. The container looked clear when new, now it is all scratched up and looks horrible as it scratches very easily. The manufacturer gave it a fancy name ‘Hydration Vessel’ to justify selling an expensive container that holds water.  A water bottle by any other name is still a water bottle."
516,Fry Boy,"Beautiful bottle but, based on KOR's reputation, handle and wash it with care, as you would an iPad . . .",4.0 out of 5 stars,"  This water bottle not only has a sexy design but is also BPA free.  While KOR has a mixed reputation in the world of water bottles due to cracking and sealing issues, it does produce one of the more attractive products available.  I've used the bottle for a week so far and have not experienced any leakage issues.  When I received the KOR ONE, I washed it with dishwashing liquid and a sponge.  To date, it has performed as expected.Admittedly, though, there does seem to be overmuch claptrap at the top of the bottle.  There's a rubber oval that you can pull off and insert a ""KOR stone"" into,.  The stone is really nothing more than a piece of round paper with something written on it.  You would place the text of th stone facing downward so that when you flipped open the bottle, you would see some inspirational message like ""YOU'RE THE BEST!"" or ""GO TEAM GO,"" all of which seems rather gimmicky and unnecessary.  In sooth, the rubber oval and its accompanying recess just give you something extra to wash, dry and keep fungus from taking root in.  Not a big deal, but not a highly desired feature either.The bottle is opened by pushing a small plastic button, then flipping the lid on its hinges.  Not sure  how long that's all going to last, but so far, so good.  I'm going to treat the bottle with kid gloves for a while.  A white plastic handle at the top allows you to hook your fingers through for easy carrying.Note that this bottle, due to its oval shape, doesn't fit into my car's cup holder.  FYI, the car is a 2008 Mazda 3s.(BPA, by the way, is ""Bisphenol A,"" a chemical used in some plastics and the inside of cans which has been known to leach into water and/or food.)"
517,penguingrooves,Well-thought design. Won't fit on the top rack of my average dishwasher.,5.0 out of 5 stars,"  Yes, this is a tall water bottle, measuring almost a foot in height, but that's to be expected for a bottle meant to hold 750 ml (25.3 oz) of water. Don't get it if you want to carry less amount of water. Since it's an oval cylinder, it's wider than circular cylinder bottles but also narrower which allows you to hold it with a more comfortable grip.I'm used to using stainless steel water bottles and didn't realize how handy it was to see the amount of water in the bottle because the plastic material lets you see the content.The hinge mechanism works well, and it's the most brilliant feature of this water bottle because when you push on the button to open, the lid opens and STAYS OPEN while drinking from it. It's truly a one-hand operation - no need to hold the cap or push a lid out of the way to drink. I also appreciate the non-skid bottom. Unlike other reviewers, I haven't had any leaks yet, but the seal is only around the spout inside the lid. Maybe if there was a second level of seal as a safety precaution, there wouldn't be as many complaints about leaks. Or, they could've designed a more reliable seal. Regardless, I don't have a leaky bottle, but perhaps only time will tell. The concept of the entire spout being encased in a lid-chamber is particularly brilliant because the spout area is kept clean.I don't see the purpose of the KOR stone which is just a piece of paper. Does anyone need affirmations whenever they drink water? Accommodating KOR stone only adds an annoying unattached lid which I prefer to not use.The description claims that it's dishwasher-safe on the top rack. I don't know what kind of dishwasher you have, but I have a normal one and not a high-capacity one. It will not fit on the top rack when placed upside-down, which is how it should be placed for optimal cleaning since putting it sideways will collect dishwasher. With the lid open, the ""vessel"" portion is nearly 10"" tall. It barely fits on the bottom rack. Also, with the lid open, it takes up a lot of space because the lid is attached. Unless there are specially designed dishwashers that I'm not aware of, this bottle will not fit on the top rack, so the benefit of easy washing is eliminated.I really, really, really want a top-rack dishwasher-safe bottle designed to fit. Maybe with newer dishwashers that don't have hot coils on the bottom, this bottle can be placed on the taller bottom rack. As long as you recognize the caveat of having to handwash it, the bottle is light, easy to operate and comfortable to hold.UPDATE: The water bottle broke! It's a user fault because someone knocked over my empty water bottle which dropped from countertop height to wooden floor. The hinge broke off, so there's no way to keep the lid on. I'm so bummed! I'm not saying that this is a defect of the product - I'm putting it in my review to let you know to be careful with it, such as not dropping it, especially when it's open. This won't be able to take as much abuse as a stainless water bottle because the hinge mechanism makes it more delicate."
